user_text,error_type,component_label,source
computer gpu overheat warning,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC not detect WiFi plus USB device not recognized,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,auto_corrected_from_test
pc not start after update,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
laptop pc not start after update,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
the pc not start after update,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
PC power flicker plus Computer stuck booting,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
PC no display HDMI plus Low FPS problem,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
laptop pc no display vga,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
pc power flicker issue,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
CPU shutdown due to heat plus PC lag always,CPU Overheat,CPU Overheat,auto_corrected_from_test
my usb device not recognized,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
my gpu thermal issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
computer graphics card fan loud,GPU Overheat,GPU Overheat,auto_corrected_from_test
Graphics card overheating,GPU Overheat,GPU Overheat,auto_corrected_from_test
Windows crash loop also Boot failure,Blue Screen (BSOD),Blue Screen (BSOD),auto_corrected_from_test
graphics card overheating,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC slow opening files and Boot failure,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
PC power flicker also Boot failure,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
computer gpu thermal issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
"CPU shutdown due to heat, PC slow after update",CPU Overheat,CPU Overheat,auto_corrected_from_test
PC power flicker also PC stuck startup repair,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
laptop gpu thermal issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC not start after update,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
computer usb device not recognized,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
pc gpu shutdown due to heat,GPU Overheat,GPU Overheat,auto_corrected_from_test
GPU fan not working also System slow,GPU Overheat,GPU Overheat,auto_corrected_from_test
gpu shutdown due to heat please,GPU Overheat,GPU Overheat,auto_corrected_from_test
pc gpu thermal issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
Graphics card thermal throttle and PC very slow,GPU Overheat,GPU Overheat,auto_corrected_from_test
computer pc no display hdmi,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
"GPU cooling problem, PC slow after update",GPU Overheat,GPU Overheat,auto_corrected_from_test
"CPU shutdown due to heat, System sluggish",CPU Overheat,CPU Overheat,auto_corrected_from_test
computer graphics card thermal throttle,GPU Overheat,GPU Overheat,auto_corrected_from_test
gpu cooling problem please,GPU Overheat,GPU Overheat,auto_corrected_from_test
laptop gpu thermal issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
help pc no display vga,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
the pc no display vga,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
my gpu temperature high,GPU Overheat,GPU Overheat,auto_corrected_from_test
gpu shutdown due to heat problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
usb device not recognized issue,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
PC shutdown suddenly and Boot failure and Screen black PC on,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
help pc no display hdmi,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
PC not boot,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
"GPU shutdown due to heat, System sluggish",GPU Overheat,GPU Overheat,auto_corrected_from_test
PC no display HDMI and Graphics card upgrade needed,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
PC not boot,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
No display,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
"PC can't connect WiFi, USB not detected",Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,auto_corrected_from_test
computer usb device not recognized,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
GPU overheat warning also PC very unresponsive,GPU Overheat,GPU Overheat,auto_corrected_from_test
Laptop charging light blink PC stuck loading Monitor no signal,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
fix graphics card too hot,GPU Overheat,GPU Overheat,auto_corrected_from_test
"GPU cooling problem, System slow",GPU Overheat,GPU Overheat,auto_corrected_from_test
WiFi connected no internet also USB not detected,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,auto_corrected_from_test
laptop graphics card thermal throttle,GPU Overheat,GPU Overheat,auto_corrected_from_test
fix pc slow loading programs,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
"No internet on PC, USB not working",Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,auto_corrected_from_test
fix gpu fan not working,GPU Overheat,GPU Overheat,auto_corrected_from_test
my graphics card fan loud,GPU Overheat,GPU Overheat,auto_corrected_from_test
pc slow loading programs please,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
gpu shutdown due to heat,GPU Overheat,GPU Overheat,auto_corrected_from_test
my gpu shutdown due to heat,GPU Overheat,GPU Overheat,auto_corrected_from_test
gpu shutdown due to heat problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
GPU temperature high and System sluggish,GPU Overheat,GPU Overheat,auto_corrected_from_test
my cpu shutdown due to heat,CPU Overheat,CPU Overheat,auto_corrected_from_test
help graphics card overheating,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC shutdown suddenly plus PC stuck on logo,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
Screen black PC on also Need better graphics card,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
laptop computer stuck booting,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
fix gpu thermal issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
my pc not start after update,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
my pc slow loading programs,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
pc gpu thermal issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
no display problem,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
my graphics card too hot,GPU Overheat,GPU Overheat,auto_corrected_from_test
"PC no display HDMI, Graphics card not detect",No Display / No Signal,No Display / No Signal,auto_corrected_from_test
Graphics card too hot PC very unresponsive,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC power flicker and PC stuck loading,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
the gpu cooling problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
my pc not start after update,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
PC on blank screen plus Low FPS problem,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
help pc no display vga,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
Graphics card overheating,GPU Overheat,GPU Overheat,auto_corrected_from_test
graphics card fan loud problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
the gpu shutdown due to heat,GPU Overheat,GPU Overheat,auto_corrected_from_test
gpu cooling problem please,GPU Overheat,GPU Overheat,auto_corrected_from_test
my gpu overheat warning,GPU Overheat,GPU Overheat,auto_corrected_from_test
USB device not recognized,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
graphics card thermal throttle,GPU Overheat,GPU Overheat,auto_corrected_from_test
pc no display vga please,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
cpu shutdown due to heat issue,CPU Overheat,CPU Overheat,auto_corrected_from_test
"Graphics card too hot, PC lag always",GPU Overheat,GPU Overheat,auto_corrected_from_test
graphics card overheating please,GPU Overheat,GPU Overheat,auto_corrected_from_test
"Graphics card fan loud, PC slow after update",GPU Overheat,GPU Overheat,auto_corrected_from_test
PC power flicker Boot failure No display,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
"PC start noise then off, PC not boot, No display",PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
Monitor not detected plus Graphics card upgrade needed,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
usb device not recognized problem,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
help pc no display hdmi,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
No internet on PC and USB not detected,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,auto_corrected_from_test
fix pc no display hdmi,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
PC start noise then off plus Windows not starting,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
the pc slow loading programs,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
fix usb device not recognized,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
my cpu shutdown due to heat,CPU Overheat,CPU Overheat,auto_corrected_from_test
the pc power flicker,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
"PC no display VGA, Graphics card not detect",No Display / No Signal,No Display / No Signal,auto_corrected_from_test
USB device not recognized,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
usb device not recognized issue,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
gpu fan not working issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
Windows crash loop also Boot failure,Blue Screen (BSOD),Blue Screen (BSOD),auto_corrected_from_test
No display also Graphics not good enough,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
pc slow loading programs problem,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
PC not start after update,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
PC not detect WiFi also Port not working,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,auto_corrected_from_test
gpu temperature high,GPU Overheat,GPU Overheat,auto_corrected_from_test
"PC power flicker, PC not start after update, Monitor not detected",PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
"PC can't connect WiFi, USB not working",Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,auto_corrected_from_test
PC no display VGA,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
PC dead after rain plus PC stuck on logo,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
my pc no display hdmi,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
Windows crash suddenly and PC stuck startup repair,Blue Screen (BSOD),Blue Screen (BSOD),auto_corrected_from_test
gpu thermal issue problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
pc pc no display vga,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
"PC power flicker, PC stuck BIOS",PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
no display issue,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
help gpu fan not working,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC start then off also Boot failure,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
help usb device not recognized,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
help no display,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
pc pc slow loading programs,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
help gpu overheat warning,GPU Overheat,GPU Overheat,auto_corrected_from_test
fix pc not start after update,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
pc graphics card overheating,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC no signal Low FPS problem,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
laptop gpu cooling problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
the no display,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
gpu fan not working problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC not turning on Windows not starting,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
PC power flicker plus PC stuck BIOS,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
laptop pc no display hdmi,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
PC shutdown suddenly and PC not start after update and Monitor no signal,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
GPU temperature high plus PC lag always,GPU Overheat,GPU Overheat,auto_corrected_from_test
Windows crash suddenly and Windows not starting,Blue Screen (BSOD),Blue Screen (BSOD),auto_corrected_from_test
computer graphics card overheating,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC slow loading programs and Windows not starting,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
PC restart again and again PC not boot PC on blank screen,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
Graphics card fan loud plus PC slow performance,GPU Overheat,GPU Overheat,auto_corrected_from_test
laptop graphics card thermal throttle,GPU Overheat,GPU Overheat,auto_corrected_from_test
Graphics card fan loud,GPU Overheat,GPU Overheat,auto_corrected_from_test
fix gpu overheat warning,GPU Overheat,GPU Overheat,auto_corrected_from_test
gpu fan not working,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC on blank screen Low FPS problem,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
Graphics card too hot also PC slow performance,GPU Overheat,GPU Overheat,auto_corrected_from_test
pc pc no display vga,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
help pc slow loading programs,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
"SSD upgrade needed, Boot failure",SSD Upgrade,SSD Upgrade,auto_corrected_from_test
SSD performance and Boot failure,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
laptop computer stuck booting,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
PC not start after update,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
PC not boot,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
"No display, Graphics card upgrade needed",No Display / No Signal,No Display / No Signal,auto_corrected_from_test
fix graphics card thermal throttle,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC start then off also Windows not starting,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
PC start then off Computer stuck booting Monitor no signal,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
PC no display VGA also Need better graphics card,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
pc not start after update please,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
PC start noise then off and PC not boot and PC no signal display,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
pc pc not start after update,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
PC can't connect WiFi also USB port not working,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,auto_corrected_from_test
the gpu thermal issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
computer usb device not recognized,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
help graphics card too hot,GPU Overheat,GPU Overheat,auto_corrected_from_test
the gpu fan not working,GPU Overheat,GPU Overheat,auto_corrected_from_test
CPU shutdown due to heat plus Computer slow,CPU Overheat,CPU Overheat,auto_corrected_from_test
pc graphics card thermal throttle,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC not turning on and Windows not starting,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
No display plus Graphics not good enough,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
pc graphics card thermal throttle,GPU Overheat,GPU Overheat,auto_corrected_from_test
gpu shutdown due to heat please,GPU Overheat,GPU Overheat,auto_corrected_from_test
gpu cooling problem problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
gpu overheat warning please,GPU Overheat,GPU Overheat,auto_corrected_from_test
pc not start after update problem,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
the gpu fan not working,GPU Overheat,GPU Overheat,auto_corrected_from_test
my gpu shutdown due to heat,GPU Overheat,GPU Overheat,auto_corrected_from_test
my computer problem,General Repair,General Repair,auto_corrected_from_test
SSD not fast enough also PC stuck on logo,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
laptop no display,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
laptop computer stuck booting,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
"PC restart again and again, PC stuck on logo",PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
computer gpu fan not working,GPU Overheat,GPU Overheat,auto_corrected_from_test
SSD upgrade needed plus Boot failure,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
gpu shutdown due to heat please,GPU Overheat,GPU Overheat,auto_corrected_from_test
help graphics card too hot,GPU Overheat,GPU Overheat,auto_corrected_from_test
no display,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
CPU shutdown due to heat also PC slow performance,CPU Overheat,CPU Overheat,auto_corrected_from_test
"PC not detect WiFi, Port not working",Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,auto_corrected_from_test
gpu shutdown due to heat please,GPU Overheat,GPU Overheat,auto_corrected_from_test
my pc no display vga,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
computer computer stuck booting,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
graphics card overheating issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
"GPU cooling problem, PC lag always",GPU Overheat,GPU Overheat,auto_corrected_from_test
the computer stuck booting,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
GPU overheat warning PC slow performance,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC power flicker,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
my pc not start after update,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
"GPU thermal issue, PC very unresponsive",GPU Overheat,GPU Overheat,auto_corrected_from_test
gpu cooling problem problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
"Windows crash loop, Boot failure",Blue Screen (BSOD),Blue Screen (BSOD),auto_corrected_from_test
PC start noise then off plus Windows not starting,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
No internet on PC also USB port not working,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,auto_corrected_from_test
my no display,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
Windows crash suddenly Boot failure,Blue Screen (BSOD),Blue Screen (BSOD),auto_corrected_from_test
Monitor no signal also Need better graphics card,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
PC no display VGA,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
the pc no display hdmi,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
PC not start after update,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
"PC start noise then off, Windows not starting, PC no display VGA",PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
PC slow boot Windows not starting,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
help pc slow loading programs,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
Monitor no signal plus Graphics card upgrade needed,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
"PC start then off, PC stuck loading, Monitor no signal",PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
computer gpu temperature high,GPU Overheat,GPU Overheat,auto_corrected_from_test
"GPU thermal issue, PC very unresponsive",GPU Overheat,GPU Overheat,auto_corrected_from_test
computer graphics card too hot,GPU Overheat,GPU Overheat,auto_corrected_from_test
Graphics card overheating plus System slow overall,GPU Overheat,GPU Overheat,auto_corrected_from_test
gpu shutdown due to heat please,GPU Overheat,GPU Overheat,auto_corrected_from_test
help gpu shutdown due to heat,GPU Overheat,GPU Overheat,auto_corrected_from_test
gpu fan not working please,GPU Overheat,GPU Overheat,auto_corrected_from_test
"SSD upgrade needed, Boot failure",SSD Upgrade,SSD Upgrade,auto_corrected_from_test
computer pc not start after update,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
PC restart again and again also Windows not starting,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
GPU fan not working,GPU Overheat,GPU Overheat,auto_corrected_from_test
Monitor not detected plus Graphics card not detect,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
help graphics card thermal throttle,GPU Overheat,GPU Overheat,auto_corrected_from_test
computer usb device not recognized,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
PC power flicker Windows not starting,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
laptop gpu cooling problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC not turning on also Boot failure,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
my pc not start after update,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
computer gpu shutdown due to heat,GPU Overheat,GPU Overheat,auto_corrected_from_test
fix pc no display hdmi,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
pc no display vga,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
pc no display vga please,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
laptop no display,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
no display,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
pc gpu shutdown due to heat,GPU Overheat,GPU Overheat,auto_corrected_from_test
Storage upgrade required also Boot failure,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
help pc power flicker,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
laptop gpu overheat warning,GPU Overheat,GPU Overheat,auto_corrected_from_test
SSD upgrade needed plus Boot failure,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
fix no display,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
computer pc power flicker,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
pc pc no display hdmi,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
pc pc not start after update,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
fix pc no display hdmi,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
PC start then off also PC stuck on logo,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
no display issue,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
pc no display vga,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
help no display,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
gpu shutdown due to heat issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC not detect WiFi and USB port not working,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,auto_corrected_from_test
usb device not recognized problem,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
my graphics card fan loud,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC slow boot and Boot failure,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
PC slow loading programs plus Boot failure,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
"Windows crash loop, Windows not starting",Blue Screen (BSOD),Blue Screen (BSOD),auto_corrected_from_test
gpu cooling problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC slow loading programs and Boot failure,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
my pc no display vga,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
PC start only sometimes Windows not starting,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
pc no display hdmi issue,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
PC power flicker and PC stuck on logo,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
No internet on PC plus USB device not recognized,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,auto_corrected_from_test
PC start then off also Boot failure,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
the pc no display vga,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
PC start only sometimes and Boot failure,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
pc gpu temperature high,GPU Overheat,GPU Overheat,auto_corrected_from_test
laptop pc not boot,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
laptop graphics card thermal throttle,GPU Overheat,GPU Overheat,auto_corrected_from_test
No internet on PC plus Port not working,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,auto_corrected_from_test
cpu shutdown due to heat,CPU Overheat,CPU Overheat,auto_corrected_from_test
WiFi connected no internet Port not working,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,auto_corrected_from_test
PC power flicker plus PC not boot,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
GPU fan not working also Computer slow,GPU Overheat,GPU Overheat,auto_corrected_from_test
pc slow loading programs please,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
gpu thermal issue problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
gpu thermal issue problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
"GPU fan not working, PC very slow",GPU Overheat,GPU Overheat,auto_corrected_from_test
pc no display vga,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
CPU shutdown due to heat PC very unresponsive Memory upgrade needed,CPU Overheat,CPU Overheat,auto_corrected_from_test
pc gpu shutdown due to heat,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC start then off and PC stuck on logo,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
PC power flicker,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
SSD performance plus PC stuck on logo,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
graphics card thermal throttle,GPU Overheat,GPU Overheat,auto_corrected_from_test
"Windows crash loop, Boot failure",Blue Screen (BSOD),Blue Screen (BSOD),auto_corrected_from_test
pc no display vga issue,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
Graphics card too hot PC very slow,GPU Overheat,GPU Overheat,auto_corrected_from_test
"Graphics card overheating, System sluggish",GPU Overheat,GPU Overheat,auto_corrected_from_test
pc not start after update issue,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
pc gpu fan not working,GPU Overheat,GPU Overheat,auto_corrected_from_test
the gpu temperature high,GPU Overheat,GPU Overheat,auto_corrected_from_test
laptop cpu shutdown due to heat,CPU Overheat,CPU Overheat,auto_corrected_from_test
GPU shutdown due to heat PC lag always,GPU Overheat,GPU Overheat,auto_corrected_from_test
USB device not recognized,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
pc no display vga problem,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
Graphics card thermal throttle also PC very unresponsive,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC power flicker,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
"Graphics card fan loud, System sluggish",GPU Overheat,GPU Overheat,auto_corrected_from_test
PC restart again and again Windows not starting PC no signal display,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
laptop pc slow loading programs,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
help pc slow loading programs,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
GPU cooling problem also PC slow after update,GPU Overheat,GPU Overheat,auto_corrected_from_test
help pc no display vga,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
pc no display vga problem,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
PC shutdown suddenly also Windows not starting,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
pc slow loading programs problem,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
gpu temperature high problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
my no display,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
Need faster storage plus Windows not starting,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
PC no display HDMI plus Low FPS problem,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
pc pc power flicker,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
pc graphics card fan loud,GPU Overheat,GPU Overheat,auto_corrected_from_test
gpu shutdown due to heat please,GPU Overheat,GPU Overheat,auto_corrected_from_test
usb device not recognized problem,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
Windows crash loop also PC not start after update,Blue Screen (BSOD),Blue Screen (BSOD),auto_corrected_from_test
gpu fan not working problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
Monitor no signal plus Need better graphics card,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
"GPU shutdown due to heat, PC very slow",GPU Overheat,GPU Overheat,auto_corrected_from_test
Computer stuck booting,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
GPU shutdown due to heat System sluggish,GPU Overheat,GPU Overheat,auto_corrected_from_test
computer cpu shutdown due to heat,CPU Overheat,CPU Overheat,auto_corrected_from_test
