user_text,error_type,component_label,source,text
PC turn on late,PSU / Power Issue,PSU / Power Issue,real_world,pc turn on late
Power button not working,PSU / Power Issue,PSU / Power Issue,real_world,power button not working
Power issue after rain,PSU / Power Issue,PSU / Power Issue,real_world,power issue after rain
Power supply problem maybe,PSU / Power Issue,PSU / Power Issue,real_world,power supply problem maybe
System not starting,PSU / Power Issue,PSU / Power Issue,comprehensive_test,system not starting
The computer shuts down when I plug in my phone.,PSU / Power Issue,,,the computer shuts down when i plug in my phone.
The pc makes a whistling noise when running.,PSU / Power Issue,,,the pc makes a whistling noise when running.
The PC vibrates or makes buzzing sounds.,PSU / Power Issue,,,the pc vibrates or makes buzzing sounds.
BIOS screen keeps appearing every startup,Windows Boot Failure,,,bios screen keeps appearing every startup
Boot device not found,Windows Boot Failure,Windows Boot Failure,real_world,boot device not found
Computer not boot after clean,Windows Boot Failure,Windows Boot Failure,real_world,computer not boot after clean
Computer stuck booting,Windows Boot Failure,Windows Boot Failure,real_world,computer stuck booting
Error when start,Windows Boot Failure,Windows Boot Failure,real_world,error when start
Laptop error boot,Windows Boot Failure,Windows Boot Failure,real_world,laptop error boot
Laptop fail boot,Windows Boot Failure,Windows Boot Failure,real_world,laptop fail boot
Laptop not waking,Windows Boot Failure,Windows Boot Failure,real_world_solutions,laptop not waking
Laptop startup error,Windows Boot Failure,Windows Boot Failure,real_world,laptop startup error
My PC freezes on the login screen.,Windows Boot Failure,,,my pc freezes on the login screen.
My PC is stuck on the manufacturer logo while booting.,Windows Boot Failure,,,my pc is stuck on the manufacturer logo while booting.
no bootable device found,Windows Boot Failure,,,no bootable device found
PC boot error,Windows Boot Failure,Windows Boot Failure,real_world,pc boot error
PC boot loop,Windows Boot Failure,Windows Boot Failure,real_world_solutions,pc boot loop
PC crash boot,Windows Boot Failure,Windows Boot Failure,real_world,pc crash boot
PC crash on startup,Windows Boot Failure,Windows Boot Failure,real_world,pc crash on startup
PC crash startup,Windows Boot Failure,Windows Boot Failure,real_world_solutions,pc crash startup
PC does not wake from sleep mode.,Windows Boot Failure,,,pc does not wake from sleep mode.
PC error loop,Windows Boot Failure,Windows Boot Failure,real_world,pc error loop
PC fail start,Windows Boot Failure,Windows Boot Failure,real_world_solutions,pc fail start
PC fail update,Windows Boot Failure,Windows Boot Failure,real_world,pc fail update
PC freeze boot logo,Windows Boot Failure,Windows Boot Failure,real_world_solutions,pc freeze boot logo
PC freeze logo,Windows Boot Failure,Windows Boot Failure,real_world_solutions,pc freeze logo
PC freeze startup,Windows Boot Failure,Windows Boot Failure,real_world_solutions,pc freeze startup
PC no boot after upgrade,Windows Boot Failure,Windows Boot Failure,real_world_solutions,pc no boot after upgrade
PC no boot device,Windows Boot Failure,Windows Boot Failure,real_world_solutions,pc no boot device
PC no startup sound,Windows Boot Failure,Windows Boot Failure,real_world_solutions,pc no startup sound
PC not boot,Windows Boot Failure,Windows Boot Failure,real_world,pc not boot
PC not boot after update,Windows Boot Failure,Windows Boot Failure,comprehensive_test,pc not boot after update
PC not boot SSD,Windows Boot Failure,Windows Boot Failure,real_world_solutions,pc not boot ssd
PC not boot USB,Windows Boot Failure,Windows Boot Failure,real_world_solutions,pc not boot usb
PC not respond startup,Windows Boot Failure,Windows Boot Failure,real_world_solutions,pc not respond startup
PC not shutdown,Windows Boot Failure,Windows Boot Failure,real_world,pc not shutdown
PC restart loop,Windows Boot Failure,Windows Boot Failure,real_world,pc restart loop
PC restart when login,Windows Boot Failure,Windows Boot Failure,real_world,pc restart when login
PC slow startup,Windows Boot Failure,Windows Boot Failure,real_world_solutions,pc slow startup
PC start with error,Windows Boot Failure,Windows Boot Failure,real_world_solutions,pc start with error
PC stuck at BIOS,Windows Boot Failure,Windows Boot Failure,real_world,pc stuck at bios
PC stuck auto repair,Windows Boot Failure,Windows Boot Failure,real_world_solutions,pc stuck auto repair
PC stuck BIOS,Windows Boot Failure,Windows Boot Failure,real_world_solutions,pc stuck bios
PC stuck BIOS logo,Windows Boot Failure,Windows Boot Failure,real_world_solutions,pc stuck bios logo
PC stuck black screen,Windows Boot Failure,Windows Boot Failure,real_world_solutions,pc stuck black screen
PC stuck error screen,Windows Boot Failure,Windows Boot Failure,real_world,pc stuck error screen
PC stuck loading,Windows Boot Failure,Windows Boot Failure,real_world,pc stuck loading
PC stuck loading bar,Windows Boot Failure,Windows Boot Failure,real_world_solutions,pc stuck loading bar
PC stuck logo,Windows Boot Failure,Windows Boot Failure,real_world,pc stuck logo
PC stuck on logo,Windows Boot Failure,Windows Boot Failure,real_world_solutions,pc stuck on logo
PC stuck preparing repair,Windows Boot Failure,Windows Boot Failure,real_world_solutions,pc stuck preparing repair
PC stuck repair loop,Windows Boot Failure,Windows Boot Failure,real_world_solutions,pc stuck repair loop
PC stuck restart,Windows Boot Failure,Windows Boot Failure,real_world,pc stuck restart
PC stuck safe mode,Windows Boot Failure,Windows Boot Failure,real_world_solutions,pc stuck safe mode
PC stuck spinning dots,Windows Boot Failure,Windows Boot Failure,real_world_solutions,pc stuck spinning dots
PC stuck startup repair,Windows Boot Failure,Windows Boot Failure,real_world,pc stuck startup repair
PC stuck welcome screen,Windows Boot Failure,Windows Boot Failure,real_world_solutions,pc stuck welcome screen
PC stutter startup,Windows Boot Failure,Windows Boot Failure,real_world_solutions,pc stutter startup
System error boot,Windows Boot Failure,Windows Boot Failure,real_world,system error boot
System fail boot,Windows Boot Failure,Windows Boot Failure,real_world,system fail boot
System not booting,Windows Boot Failure,Windows Boot Failure,real_world,system not booting
System not responding on start,Windows Boot Failure,Windows Boot Failure,real_world,system not responding on start
The computer gets stuck on black screen after boot.,Windows Boot Failure,,,the computer gets stuck on black screen after boot.
Windows crashes when installing updates.,Windows Boot Failure,,,windows crashes when installing updates.
Windows fail again,Windows Boot Failure,Windows Boot Failure,real_world,windows fail again
Windows fail load,Windows Boot Failure,Windows Boot Failure,real_world,windows fail load
Windows fail system,Windows Boot Failure,Windows Boot Failure,real_world,windows fail system
Windows not loading,Windows Boot Failure,Windows Boot Failure,real_world,windows not loading
Windows stuck problem,Windows Boot Failure,Windows Boot Failure,real_world,windows stuck problem
Windows system fail,Windows Boot Failure,Windows Boot Failure,real_world,windows system fail
Windows update fail,Windows Boot Failure,Windows Boot Failure,real_world,windows update fail
Black screen when GPU under load,GPU Upgrade,,,black screen when gpu under load
DirectX error during game startup,GPU Upgrade,,,directx error during game startup
Display lag problem,GPU Upgrade,GPU Upgrade,real_world,display lag problem
Fans spin at 100% at random,GPU Upgrade,,,fans spin at 100% at random
FPS drops after few minutes of gameplay,GPU Upgrade,,,fps drops after few minutes of gameplay
Game closes without error,GPU Upgrade,,,game closes without error
Game crashes after loading screen,GPU Upgrade,,,game crashes after loading screen
Game lag graphics,GPU Upgrade,GPU Upgrade,real_world,game lag graphics
Games have extremely low FPS even on low graphics.,GPU Upgrade,,,games have extremely low fps even on low graphics.
GPU artifacts on screen,GPU Upgrade,,,gpu artifacts on screen
GPU fans do not spin.,GPU Upgrade,,,gpu fans do not spin.
GPU not giving display but fans spin,GPU Upgrade,,,gpu not giving display but fans spin
GPU overheating even on idle,GPU Upgrade,,,gpu overheating even on idle
GPU overheats after cleaning,GPU Upgrade,,,gpu overheats after cleaning
GPU power spikes,GPU Upgrade,,,gpu power spikes
GPU shuts PC down when fan ramps,GPU Upgrade,,,gpu shuts pc down when fan ramps
Graphics card shows error in Device Manager.,GPU Upgrade,,,graphics card shows error in device manager.
Laptop boot black,GPU Upgrade,GPU Upgrade,real_world_solutions,laptop boot black
Laptop lag on video,GPU Upgrade,GPU Upgrade,real_world,laptop lag on video
Memory overclock unstable,GPU Upgrade,,,memory overclock unstable
Mouse lag only in games,GPU Upgrade,,,mouse lag only in games
My PC won't detect the graphics card.,GPU Upgrade,,,my pc won't detect the graphics card.
PC crashes when GPU driver updates.,GPU Upgrade,,,pc crashes when gpu driver updates.
PC crashes when using video editing software.,GPU Upgrade,,,pc crashes when using video editing software.
PC display lag,GPU Upgrade,GPU Upgrade,real_world,pc display lag
PC freeze gaming,GPU Upgrade,GPU Upgrade,real_world_solutions,pc freeze gaming
PC slow gaming,GPU Upgrade,GPU Upgrade,real_world_solutions,pc slow gaming
PC slow with games,GPU Upgrade,GPU Upgrade,real_world,pc slow with games
PC start then blank,GPU Upgrade,GPU Upgrade,real_world_solutions,pc start then blank
PC stutter gaming low FPS,GPU Upgrade,GPU Upgrade,real_world_solutions,pc stutter gaming low fps
Screen tearing during gameplay,GPU Upgrade,,,screen tearing during gameplay
Stuttering when moving camera in games,GPU Upgrade,,,stuttering when moving camera in games
Sudden FPS spikes and freezes,GPU Upgrade,,,sudden fps spikes and freezes
The system lags badly when opening games.,GPU Upgrade,,,the system lags badly when opening games.
Blue screen appears after connecting my external hard drive.,Blue Screen (BSOD),,,blue screen appears after connecting my external hard drive.
blue screen with sad face and stop code,Blue Screen (BSOD),,,blue screen with sad face and stop code
Error after install,Blue Screen (BSOD),Blue Screen (BSOD),comprehensive_test,error after install
Error on startup,Blue Screen (BSOD),Blue Screen (BSOD),comprehensive_test,error on startup
Laptop crash often,Blue Screen (BSOD),Blue Screen (BSOD),comprehensive_test,laptop crash often
Laptop error message,Blue Screen (BSOD),Blue Screen (BSOD),comprehensive_test,laptop error message
Laptop error screen,Blue Screen (BSOD),Blue Screen (BSOD),real_world,laptop error screen
Laptop OS error,Blue Screen (BSOD),Blue Screen (BSOD),comprehensive_test,laptop os error
OS error message,Blue Screen (BSOD),Blue Screen (BSOD),comprehensive_test,os error message
PC blue screen,Blue Screen (BSOD),Blue Screen (BSOD),real_world,pc blue screen
PC blue screen after RAM,Blue Screen (BSOD),Blue Screen (BSOD),real_world,pc blue screen after ram
PC crash random,Blue Screen (BSOD),Blue Screen (BSOD),comprehensive_test,pc crash random
PC error startup,Blue Screen (BSOD),Blue Screen (BSOD),comprehensive_test,pc error startup
PC gives a blue screen during boot.,Blue Screen (BSOD),,,pc gives a blue screen during boot.
PC malfunction error,Blue Screen (BSOD),Blue Screen (BSOD),comprehensive_test,pc malfunction error
PC need repair,Blue Screen (BSOD),Blue Screen (BSOD),comprehensive_test,pc need repair
PC no boot after crash,Blue Screen (BSOD),Blue Screen (BSOD),real_world_solutions,pc no boot after crash
PC problem unknown,Blue Screen (BSOD),Blue Screen (BSOD),comprehensive_test,pc problem unknown
PC software error,Blue Screen (BSOD),Blue Screen (BSOD),comprehensive_test,pc software error
PC start then blue screen,Blue Screen (BSOD),Blue Screen (BSOD),real_world_solutions,pc start then blue screen
PC stuck error,Blue Screen (BSOD),Blue Screen (BSOD),comprehensive_test,pc stuck error
PC system corrupted,Blue Screen (BSOD),Blue Screen (BSOD),comprehensive_test,pc system corrupted
PC system fail,Blue Screen (BSOD),Blue Screen (BSOD),comprehensive_test,pc system fail
PC system issue,Blue Screen (BSOD),Blue Screen (BSOD),comprehensive_test,pc system issue
System corrupted message,Blue Screen (BSOD),Blue Screen (BSOD),comprehensive_test,system corrupted message
System not stable,Blue Screen (BSOD),Blue Screen (BSOD),comprehensive_test,system not stable
Windows crash error,Blue Screen (BSOD),Blue Screen (BSOD),real_world,windows crash error
Windows crash loop,Blue Screen (BSOD),Blue Screen (BSOD),real_world,windows crash loop
Windows crash suddenly,Blue Screen (BSOD),Blue Screen (BSOD),real_world,windows crash suddenly
Windows error screen,Blue Screen (BSOD),Blue Screen (BSOD),real_world,windows error screen
Windows failure,Blue Screen (BSOD),Blue Screen (BSOD),comprehensive_test,windows failure
Windows not start,Blue Screen (BSOD),Blue Screen (BSOD),comprehensive_test,windows not start
Windows problem again,Blue Screen (BSOD),Blue Screen (BSOD),comprehensive_test,windows problem again
Windows repair loop,Blue Screen (BSOD),Blue Screen (BSOD),comprehensive_test,windows repair loop
Computer freeze screen,Slow Performance,Slow Performance,real_world,computer freeze screen
Computer hang always,Slow Performance,Slow Performance,real_world,computer hang always
Computer lag on startup,Slow Performance,Slow Performance,comprehensive_test,computer lag on startup
Computer not smooth,Slow Performance,Slow Performance,real_world,computer not smooth
computer running very slow,Slow Performance,,,computer running very slow
Computer slow after long use,Slow Performance,Slow Performance,real_world,computer slow after long use
Computer slow on battery,Slow Performance,Slow Performance,real_world,computer slow on battery
Everything freeze suddenly,Slow Performance,Slow Performance,real_world,everything freeze suddenly
Keyboard delay,Slow Performance,Slow Performance,real_world,keyboard delay
Laptop freeze after sleep,Slow Performance,Slow Performance,real_world,laptop freeze after sleep
Laptop freeze sudden,Slow Performance,Slow Performance,real_world,laptop freeze sudden
Laptop hang random,Slow Performance,Slow Performance,real_world,laptop hang random
Laptop hang when browser open,Slow Performance,Slow Performance,comprehensive_test,laptop hang when browser open
Laptop heat and slow,Slow Performance,Slow Performance,comprehensive_test,laptop heat and slow
Laptop lag battery,Slow Performance,Slow Performance,real_world_solutions,laptop lag battery
Laptop lag compile,Slow Performance,Slow Performance,real_world_solutions,laptop lag compile
Laptop lag drivers,Slow Performance,Slow Performance,real_world_solutions,laptop lag drivers
Laptop lag heavy apps,Slow Performance,Slow Performance,real_world_solutions,laptop lag heavy apps
Laptop lag resume,Slow Performance,Slow Performance,real_world_solutions,laptop lag resume
Laptop lag sound,Slow Performance,Slow Performance,real_world_solutions,laptop lag sound
Laptop lag video,Slow Performance,Slow Performance,real_world_solutions,laptop lag video
Laptop lag video call,Slow Performance,Slow Performance,real_world_solutions,laptop lag video call
Laptop lag zoom,Slow Performance,Slow Performance,real_world_solutions,laptop lag zoom
Laptop slow after update,Slow Performance,Slow Performance,real_world_solutions,laptop slow after update
Laptop slow boot time,Slow Performance,Slow Performance,comprehensive_test,laptop slow boot time
Laptop slow charging,Slow Performance,Slow Performance,real_world_solutions,laptop slow charging
Laptop slow charging mode,Slow Performance,Slow Performance,real_world_solutions,laptop slow charging mode
Laptop slow even small work,Slow Performance,Slow Performance,real_world,laptop slow even small work
Laptop slow IDE,Slow Performance,Slow Performance,real_world_solutions,laptop slow ide
Laptop slow render,Slow Performance,Slow Performance,real_world_solutions,laptop slow render
Laptop slow wake,Slow Performance,Slow Performance,real_world_solutions,laptop slow wake
Laptop slow when charging,Slow Performance,Slow Performance,real_world,laptop slow when charging
Laptop stutter sound,Slow Performance,Slow Performance,real_world,laptop stutter sound
Mouse move slow,Slow Performance,Slow Performance,real_world,mouse move slow
My PC very slow,Slow Performance,Slow Performance,real_world,my pc very slow
PC delay click response,Slow Performance,Slow Performance,real_world,pc delay click response
PC delay everything,Slow Performance,Slow Performance,real_world,pc delay everything
PC delay shutdown,Slow Performance,Slow Performance,real_world,pc delay shutdown
PC freeze after hours,Slow Performance,Slow Performance,real_world_solutions,pc freeze after hours
PC freeze antivirus scan,Slow Performance,Slow Performance,real_world_solutions,pc freeze antivirus scan
PC freeze app open,Slow Performance,Slow Performance,real_world_solutions,pc freeze app open
PC freeze apps,Slow Performance,Slow Performance,real_world_solutions,pc freeze apps
PC freeze BIOS,Slow Performance,Slow Performance,real_world_solutions,pc freeze bios
PC freeze browser,Slow Performance,Slow Performance,real_world_solutions,pc freeze browser
PC freeze copy files,Slow Performance,Slow Performance,real_world_solutions,pc freeze copy files
PC freeze desktop,Slow Performance,Slow Performance,real_world_solutions,pc freeze desktop
PC freeze file save,Slow Performance,Slow Performance,real_world_solutions,pc freeze file save
PC freeze idle,Slow Performance,Slow Performance,real_world_solutions,pc freeze idle
PC freeze mouse only,Slow Performance,Slow Performance,real_world,pc freeze mouse only
PC freeze notifications,Slow Performance,Slow Performance,real_world_solutions,pc freeze notifications
PC freeze often,Slow Performance,Slow Performance,real_world_solutions,pc freeze often
PC freeze scroll,Slow Performance,Slow Performance,real_world_solutions,pc freeze scroll
PC freeze system tray,Slow Performance,Slow Performance,real_world_solutions,pc freeze system tray
PC freeze updates,Slow Performance,Slow Performance,real_world_solutions,pc freeze updates
PC freeze when idle,Slow Performance,Slow Performance,real_world,pc freeze when idle
PC hang copy paste,Slow Performance,Slow Performance,real_world_solutions,pc hang copy paste
PC hang heavy work,Slow Performance,Slow Performance,real_world_solutions,pc hang heavy work
PC hang often,Slow Performance,Slow Performance,real_world,pc hang often
PC lag after long use,Slow Performance,Slow Performance,real_world_solutions,pc lag after long use
PC lag always,Slow Performance,Slow Performance,real_world_solutions,pc lag always
PC lag animations,Slow Performance,Slow Performance,real_world_solutions,pc lag animations
PC lag audio,Slow Performance,Slow Performance,real_world_solutions,pc lag audio
PC lag audio video,Slow Performance,Slow Performance,real_world_solutions,pc lag audio video
PC lag brightness,Slow Performance,Slow Performance,real_world_solutions,pc lag brightness
PC lag drag drop,Slow Performance,Slow Performance,real_world_solutions,pc lag drag drop
PC lag mouse,Slow Performance,Slow Performance,real_world_solutions,pc lag mouse
PC lag on windows,Slow Performance,Slow Performance,real_world,pc lag on windows
PC lag opening apps,Slow Performance,Slow Performance,real_world_solutions,pc lag opening apps
PC lag printing,Slow Performance,Slow Performance,real_world_solutions,pc lag printing
PC lag scrolling,Slow Performance,Slow Performance,real_world,pc lag scrolling
PC lag start menu,Slow Performance,Slow Performance,real_world_solutions,pc lag start menu
PC lag switching apps,Slow Performance,Slow Performance,real_world_solutions,pc lag switching apps
PC lag too much,Slow Performance,Slow Performance,real_world,pc lag too much
PC lag typing,Slow Performance,Slow Performance,real_world_solutions,pc lag typing
PC lag typing delay,Slow Performance,Slow Performance,real_world_solutions,pc lag typing delay
PC lag updates,Slow Performance,Slow Performance,real_world_solutions,pc lag updates
PC lag USB,Slow Performance,Slow Performance,real_world_solutions,pc lag usb
PC lag when hot,Slow Performance,Slow Performance,real_world_solutions,pc lag when hot
PC lag while typing,Slow Performance,Slow Performance,real_world,pc lag while typing
PC lag window move,Slow Performance,Slow Performance,real_world_solutions,pc lag window move
PC lag with USB drive,Slow Performance,Slow Performance,real_world_solutions,pc lag with usb drive
PC lag zoom calls,Slow Performance,Slow Performance,real_world_solutions,pc lag zoom calls
PC not responding error,Slow Performance,Slow Performance,real_world,pc not responding error
PC performance drop,Slow Performance,Slow Performance,real_world,pc performance drop
PC slow after few minutes,Slow Performance,Slow Performance,real_world,pc slow after few minutes
PC slow after install,Slow Performance,Slow Performance,real_world_solutions,pc slow after install
PC slow after software install,Slow Performance,Slow Performance,real_world,pc slow after software install
PC slow after update,Slow Performance,Slow Performance,real_world,pc slow after update
PC slow app launch,Slow Performance,Slow Performance,real_world_solutions,pc slow app launch
PC slow browsing,Slow Performance,Slow Performance,real_world_solutions,pc slow browsing
PC slow copy files,Slow Performance,Slow Performance,real_world_solutions,pc slow copy files
PC slow extract files,Slow Performance,Slow Performance,real_world_solutions,pc slow extract files
PC slow file explorer,Slow Performance,Slow Performance,real_world_solutions,pc slow file explorer
PC slow file open,Slow Performance,Slow Performance,real_world_solutions,pc slow file open
PC slow idle,Slow Performance,Slow Performance,real_world_solutions,pc slow idle
PC slow install apps,Slow Performance,Slow Performance,real_world_solutions,pc slow install apps
PC slow internet apps,Slow Performance,Slow Performance,real_world_solutions,pc slow internet apps
PC slow login,Slow Performance,Slow Performance,real_world_solutions,pc slow login
PC slow network apps,Slow Performance,Slow Performance,real_world_solutions,pc slow network apps
PC slow opening files,Slow Performance,Slow Performance,comprehensive_test,pc slow opening files
PC slow performance,Slow Performance,Slow Performance,real_world,pc slow performance
PC slow refresh,Slow Performance,Slow Performance,real_world_solutions,pc slow refresh
PC slow refresh rate,Slow Performance,Slow Performance,real_world_solutions,pc slow refresh rate
PC slow response,Slow Performance,Slow Performance,real_world_solutions,pc slow response
PC slow search,Slow Performance,Slow Performance,real_world_solutions,pc slow search
PC slow shutdown,Slow Performance,Slow Performance,real_world_solutions,pc slow shutdown
PC slow suddenly,Slow Performance,Slow Performance,real_world,pc slow suddenly
PC slow task manager,Slow Performance,Slow Performance,real_world_solutions,pc slow task manager
PC slow UI,Slow Performance,Slow Performance,real_world_solutions,pc slow ui
PC slow when copy files,Slow Performance,Slow Performance,comprehensive_test,pc slow when copy files
PC slow windows load,Slow Performance,Slow Performance,real_world_solutions,pc slow windows load
PC slow with antivirus,Slow Performance,Slow Performance,real_world,pc slow with antivirus
PC slow with internet,Slow Performance,Slow Performance,real_world,pc slow with internet
PC slow with updates,Slow Performance,Slow Performance,real_world,pc slow with updates
PC start slow,Slow Performance,Slow Performance,real_world_solutions,pc start slow
PC start slow then freeze,Slow Performance,Slow Performance,real_world_solutions,pc start slow then freeze
PC stutter animation,Slow Performance,Slow Performance,real_world_solutions,pc stutter animation
PC stutter browser,Slow Performance,Slow Performance,real_world_solutions,pc stutter browser
PC stutter browser video,Slow Performance,Slow Performance,real_world_solutions,pc stutter browser video
PC stutter idle,Slow Performance,Slow Performance,real_world_solutions,pc stutter idle
PC stutter mouse,Slow Performance,Slow Performance,real_world_solutions,pc stutter mouse
PC stutter random,Slow Performance,Slow Performance,real_world_solutions,pc stutter random
PC stutter randomly,Slow Performance,Slow Performance,real_world,pc stutter randomly
PC stutter scrolling,Slow Performance,Slow Performance,real_world_solutions,pc stutter scrolling
PC stutter typing,Slow Performance,Slow Performance,real_world_solutions,pc stutter typing
PC system slow error,Slow Performance,Slow Performance,real_world,pc system slow error
PC very slow,Slow Performance,Slow Performance,real_world_solutions,pc very slow
PC very unresponsive,Slow Performance,Slow Performance,real_world,pc very unresponsive
System freeze randomly,Slow Performance,Slow Performance,real_world,system freeze randomly
System hang on login,Slow Performance,Slow Performance,real_world,system hang on login
System lag spike,Slow Performance,Slow Performance,real_world,system lag spike
System slow overall,Slow Performance,Slow Performance,real_world,system slow overall
System slow suddenly,Slow Performance,Slow Performance,real_world,system slow suddenly
System slow when open apps,Slow Performance,Slow Performance,real_world,system slow when open apps
System sluggish,Slow Performance,Slow Performance,real_world,system sluggish
System stutter problem,Slow Performance,Slow Performance,real_world,system stutter problem
Windows not responding,Slow Performance,Slow Performance,real_world,windows not responding
Computer refuses to connect to external monitor.,Monitor or GPU Check,,,computer refuses to connect to external monitor.
Laptop screen flickers when opening the lid.,Monitor or GPU Check,,,laptop screen flickers when opening the lid.
Laptop screen has dim brightness and won't increase.,Monitor or GPU Check,,,laptop screen has dim brightness and won't increase.
Monitor has ghosting effect in games.,Monitor or GPU Check,,,monitor has ghosting effect in games.
Monitor randomly switches refresh rate.,Monitor or GPU Check,,,monitor randomly switches refresh rate.
Monitor shows static noise sometimes.,Monitor or GPU Check,,,monitor shows static noise sometimes.
My monitor randomly turns off while the PC runs.,Monitor or GPU Check,,,my monitor randomly turns off while the pc runs.
PC freezes when connecting HDMI cable.,Monitor or GPU Check,,,pc freezes when connecting hdmi cable.
PC screen becomes blurry randomly.,Monitor or GPU Check,,,pc screen becomes blurry randomly.
PC shows random color lines on display.,Monitor or GPU Check,,,pc shows random color lines on display.
Screen keeps flickering when I move the mouse.,Monitor or GPU Check,,,screen keeps flickering when i move the mouse.
Cooling problem PC,CPU Overheat,CPU Overheat,real_world,cooling problem pc
CPU fan error,CPU Overheat,CPU Overheat,real_world,cpu fan error
CPU heat warning,CPU Overheat,CPU Overheat,real_world,cpu heat warning
CPU overheat warning,CPU Overheat,CPU Overheat,real_world,cpu overheat warning
CPU temp high,CPU Overheat,CPU Overheat,real_world,cpu temp high
CPU temp spikes instantly,CPU Overheat,,,cpu temp spikes instantly
CPU throttles at 60°C,CPU Overheat,,,cpu throttles at 60°c
Fan broken maybe,CPU Overheat,CPU Overheat,real_world,fan broken maybe
Fan dust problem,CPU Overheat,CPU Overheat,real_world,fan dust problem
Fan noisy always,CPU Overheat,CPU Overheat,real_world,fan noisy always
Fan not spinning,CPU Overheat,CPU Overheat,real_world,fan not spinning
Fan speed high,CPU Overheat,CPU Overheat,real_world,fan speed high
Fan very loud,CPU Overheat,CPU Overheat,real_world,fan very loud
Fan vibration noise,CPU Overheat,CPU Overheat,real_world,fan vibration noise
Gaming laptop overheats on performance mode,CPU Overheat,,,gaming laptop overheats on performance mode
GPU reaches 90°C while gaming,CPU Overheat,,,gpu reaches 90°c while gaming
GPU thermal throttling while gaming,CPU Overheat,,,gpu thermal throttling while gaming
Laptop auto off,CPU Overheat,CPU Overheat,real_world_solutions,laptop auto off
Laptop burn hot,CPU Overheat,CPU Overheat,real_world,laptop burn hot
Laptop fan makes loud noise after 10 minutes of use.,CPU Overheat,,,laptop fan makes loud noise after 10 minutes of use.
Laptop fan never spins even when hot.,CPU Overheat,,,laptop fan never spins even when hot.
Laptop fan not work,CPU Overheat,CPU Overheat,real_world,laptop fan not work
Laptop gets hot even when idle.,CPU Overheat,,,laptop gets hot even when idle.
Laptop heat lag,CPU Overheat,CPU Overheat,real_world,laptop heat lag
Laptop heat problem,CPU Overheat,CPU Overheat,real_world,laptop heat problem
Laptop heat shutdown,CPU Overheat,CPU Overheat,real_world,laptop heat shutdown
Laptop heat too much,CPU Overheat,CPU Overheat,real_world,laptop heat too much
Laptop overheating,CPU Overheat,CPU Overheat,real_world,laptop overheating
Laptop overheats even with cooling pad.,CPU Overheat,,,laptop overheats even with cooling pad.
Laptop start then off,CPU Overheat,CPU Overheat,real_world_solutions,laptop start then off
Laptop thermal issue,CPU Overheat,CPU Overheat,real_world,laptop thermal issue
Liquid cooler pump not detected,CPU Overheat,,,liquid cooler pump not detected
PC air flow bad,CPU Overheat,CPU Overheat,real_world,pc air flow bad
PC auto shutdown,CPU Overheat,CPU Overheat,real_world_solutions,pc auto shutdown
PC cooling fail,CPU Overheat,CPU Overheat,real_world,pc cooling fail
PC cooling issue,CPU Overheat,CPU Overheat,real_world,pc cooling issue
PC extremely loud under small load,CPU Overheat,,,pc extremely loud under small load
PC fan noise,CPU Overheat,CPU Overheat,real_world,pc fan noise
PC fan stop,CPU Overheat,CPU Overheat,real_world,pc fan stop
PC fans spin at 100% for no reason.,CPU Overheat,,,pc fans spin at 100% for no reason.
PC heat summer,CPU Overheat,CPU Overheat,real_world,pc heat summer
PC hot shutdown,CPU Overheat,CPU Overheat,real_world,pc hot shutdown
PC off gaming,CPU Overheat,CPU Overheat,comprehensive_test,pc off gaming
PC off suddenly,CPU Overheat,CPU Overheat,real_world_solutions,pc off suddenly
PC overheats only during video calls.,CPU Overheat,,,pc overheats only during video calls.
"PC shows ""CPU temperature too high"" warning.",CPU Overheat,,,"pc shows ""cpu temperature too high"" warning."
PC shutdown heat,CPU Overheat,CPU Overheat,real_world,pc shutdown heat
PC slow when hot,CPU Overheat,CPU Overheat,real_world,pc slow when hot
PC start fan loud,CPU Overheat,CPU Overheat,real_world_solutions,pc start fan loud
PC temp abnormal,CPU Overheat,CPU Overheat,real_world,pc temp abnormal
PC temp spike,CPU Overheat,CPU Overheat,real_world,pc temp spike
PC very hot,CPU Overheat,CPU Overheat,real_world,pc very hot
PC warm idle,CPU Overheat,CPU Overheat,real_world,pc warm idle
System hot slow,CPU Overheat,CPU Overheat,real_world,system hot slow
System overheat error,CPU Overheat,CPU Overheat,real_world,system overheat error
System overheating,CPU Overheat,CPU Overheat,real_world,system overheating
System temp alert,CPU Overheat,CPU Overheat,real_world,system temp alert
System thermal issue,CPU Overheat,CPU Overheat,real_world,system thermal issue
Temperature high always,CPU Overheat,CPU Overheat,real_world,temperature high always
The fan speed increases suddenly without load.,CPU Overheat,,,the fan speed increases suddenly without load.
Thermal throttling in games,CPU Overheat,,,thermal throttling in games
Display color wrong,No Display / No Signal,No Display / No Signal,comprehensive_test,display color wrong
Display error startup,No Display / No Signal,No Display / No Signal,comprehensive_test,display error startup
Display flickering,No Display / No Signal,No Display / No Signal,comprehensive_test,display flickering
Display freeze,No Display / No Signal,No Display / No Signal,comprehensive_test,display freeze
Display scaling issue,No Display / No Signal,No Display / No Signal,comprehensive_test,display scaling issue
Fan spin no display,No Display / No Signal,No Display / No Signal,real_world_solutions,fan spin no display
GPU crash gaming,No Display / No Signal,No Display / No Signal,comprehensive_test,gpu crash gaming
